timestamp,entry,emotion_label,emotion_score
2025-10-11 09:38:17,"Data Structures exam tomorrow. Feeling the pressure, haven't slept enough.",sadness,0.527
2025-10-11 09:38:18,Finally understood recursion. It just... clicked. Such a good feeling.,joy,0.8825
2025-10-11 09:38:18,Professor's lecture on algorithms was actually fascinating today.,surprise,0.4332
2025-10-11 09:38:18,"Spent 6 hours debugging a single issue. I was about to give up, but I found it. Victory.",sadness,0.505
2025-10-11 09:38:19,Group project members are not pulling their weight. So frustrating.,sadness,0.2576
2025-10-11 09:38:19,Imposter syndrome is hitting hard. Everyone in my class seems smarter than me.,neutral,0.8942
2025-10-11 09:38:19,Got a 95 on my midterm! All that late-night studying paid off.,surprise,0.4426
2025-10-11 09:38:19,Started grinding LeetCode for internship prep. It's demoralizing.,sadness,0.7866
2025-10-11 09:38:20,Just built a small weather app using a new API. It feels amazing to create something from scratch.,surprise,0.8414
2025-10-11 09:38:20,Fell asleep in my OS lecture. So embarrassing.,sadness,0.5973
2025-10-11 09:38:20,My resume feels so empty. I need more projects.,sadness,0.9773
2025-10-11 09:38:21,Applied to 10 internships today. Fingers crossed.,neutral,0.5111
2025-10-11 09:38:21,Got another rejection email. This process is brutal.,disgust,0.5794
2025-10-11 09:38:21,"The career fair was a madhouse. So many people, so much pressure.",anger,0.2738
2025-10-11 09:38:22,"Finally landed an interview! It's with a startup, looks cool.",joy,0.5777
2025-10-11 09:38:22,This compiler theory homework makes absolutely no sense.,disgust,0.8249
2025-10-11 09:38:22,Why do I have to take these pointless elective courses?,anger,0.6462
2025-10-11 09:38:23,"Helped a junior with their coding problem, felt good to be the one who knew the answer.",joy,0.9734
2025-10-11 09:38:23,Thinking about what I want to specialize in. AI? Cybersecurity? So many options.,surprise,0.5115
2025-10-11 09:38:23,I'm genuinely tired of looking at a screen all day.,sadness,0.8073
2025-10-11 09:38:24,My laptop crashed in the middle of me writing code. Lost an hour of work.,sadness,0.8382
2025-10-11 09:38:24,"Our group project is finally working. The demo is tomorrow, I'm nervous but excited.",fear,0.981
2025-10-11 09:38:25,Realized I've learned more from side projects than from some of my classes.,neutral,0.5336
2025-10-11 09:38:25,"The satisfaction of clean, commented, and efficient code is underrated.",neutral,0.6154
2025-10-11 09:38:25,Just found out the internship I wanted went to someone else. Stings a lot.,surprise,0.583
2025-10-11 09:38:26,Date night with [GF's Name] was perfect. We just walked and talked for hours.,neutral,0.8885
2025-10-11 09:38:26,She's so stressed with her own studies. I wish I could help more.,sadness,0.8449
2025-10-11 09:38:26,"Had a small, stupid argument over text. I hate that feeling.",anger,0.4738
2025-10-11 09:38:27,She brought me coffee while I was studying. She's the best.,neutral,0.6692
2025-10-11 09:38:27,Missing her. We haven't had much time to see each other this week.,sadness,0.9469
2025-10-11 09:38:27,We tried cooking together and almost burned the kitchen down. Laughed so hard.,disgust,0.2857
2025-10-11 09:38:28,"She fell asleep on my shoulder while we were watching a movie. Simple, perfect moment.",neutral,0.5766
2025-10-11 09:38:28,Feeling a little distant from her lately. We need to reconnect.,sadness,0.9562
2025-10-11 09:38:28,She's my biggest supporter. Her believing in me helps with the imposter syndrome.,joy,0.7103
2025-10-11 09:38:29,Anniversary today. Can't believe it's been two years.,surprise,0.9792
2025-10-11 09:38:29,It's hard balancing this demanding major with being a good boyfriend.,disgust,0.3714
2025-10-11 09:38:29,Sometimes I feel like she doesn't understand the pressure of my coursework.,disgust,0.7735
2025-10-11 09:38:29,Her smile literally makes my day better.,joy,0.9712
2025-10-11 09:38:30,"We need to plan a proper trip, get away from all this stress.",neutral,0.8756
2025-10-11 09:38:30,Just talking to her on the phone for 10 minutes calmed me down completely.,neutral,0.7292
2025-10-11 09:38:30,Late-night gaming session with the guys was exactly what I needed.,neutral,0.8553
2025-10-11 09:38:31,"The party last night was okay, but I felt a bit out of place.",disgust,0.3785
2025-10-11 09:38:31,My roommate is driving me crazy. He never cleans.,disgust,0.4484
2025-10-11 09:38:31,Had a deep conversation with my best friend until 3 AM. Really grateful for him.,joy,0.5866
2025-10-11 09:38:32,"Feeling a bit lonely, even though I'm surrounded by people.",sadness,0.9871
2025-10-11 09:38:32,Everyone's going out but I'm stuck here with a deadline. Major FOMO.,surprise,0.3342
2025-10-11 09:38:32,"Just chilling and watching football with my roommates. Simple, good times.",joy,0.8833
2025-10-11 09:38:33,It feels like all my friends have their future figured out except for me.,neutral,0.9432
2025-10-11 09:38:33,Skipped class and went to get breakfast with a friend. No regrets.,sadness,0.7248
2025-10-11 09:38:33,Hosted a small get-together. It's nice having everyone in our space.,joy,0.9394
2025-10-11 09:38:33,Woke up feeling incredibly unmotivated.,fear,0.8519
2025-10-11 09:38:34,Feeling overwhelmed by my to-do list. Don't even know where to start.,surprise,0.7231
2025-10-11 09:38:34,I need to get better at managing my time and not procrastinating.,neutral,0.7103
2025-10-11 09:38:34,Proud of myself for waking up early and going for a run.,joy,0.9771
2025-10-11 09:38:35,Sometimes I just question if computer science is even the right path for me.,neutral,0.7995
2025-10-11 09:38:35,Felt a random wave of anxiety for no reason.,fear,0.9777
2025-10-11 09:38:35,"Today was just... blah. A completely neutral, forgettable day.",sadness,0.8479
2025-10-11 09:38:36,I feel like I'm finally becoming more independent and figuring things out.,joy,0.8231
2025-10-11 09:38:36,Burnout is real. I feel mentally exhausted.,sadness,0.9783
2025-10-11 09:38:36,Took a social media break today. It was surprisingly refreshing.,joy,0.8289
2025-10-11 09:38:37,I need to stop comparing my journey to others.,neutral,0.8506
2025-10-11 09:38:37,Felt really confident today. It was a nice change.,joy,0.9742
2025-10-11 09:38:38,"Sometimes the future feels exciting, other times it's just terrifying.",fear,0.898
2025-10-11 09:38:38,Reflecting on first year me vs now. I've grown a lot.,neutral,0.6695
2025-10-11 09:38:38,A moment of pure calm while listening to music. Cherishing it.,joy,0.8129
2025-10-11 09:38:39,Hit a new personal record at the gym. Feeling strong.,joy,0.931
2025-10-11 09:38:39,Skipped the gym. Feeling lazy and a bit guilty about it.,sadness,0.8787
2025-10-11 09:38:40,Finished that new Netflix series. What am I supposed to do with my life now?,neutral,0.6141
2025-10-11 09:38:40,Just want a whole day to do nothing but play video games.,neutral,0.6266
2025-10-11 09:38:40,Tried to play some guitar. My fingers are killing me but it's fun.,joy,0.5586
2025-10-11 09:38:40,A perfect rainy day to just stay in and read a book.,joy,0.6197
2025-10-11 09:38:41,Went for a long drive with the windows down and music blasting. Felt free.,neutral,0.6843
2025-10-11 09:38:41,Finally built that new Lego set I bought months ago.,joy,0.7226
2025-10-11 09:38:41,Spent way too much money on a new keyboard. It's so satisfying to type on though.,joy,0.9682
2025-10-11 09:38:42,Just sat outside and listened to a podcast. Simple and relaxing.,neutral,0.4738
2025-10-11 09:38:42,"Talked to my parents on the phone. They asked about my grades, of course.",neutral,0.7746
2025-10-11 09:38:42,Missing a home-cooked meal right now.,sadness,0.9517
2025-10-11 09:38:43,My younger sibling is already cooler than I'll ever be.,neutral,0.9066
2025-10-11 09:38:43,Felt a pang of homesickness today.,sadness,0.98
2025-10-11 09:38:43,Dad tried to 'talk tech' with me. It was awkward but sweet.,disgust,0.9286
2025-10-11 09:38:44,Family is coming to visit next weekend. Excited but also a little stressed.,sadness,0.536
2025-10-11 09:38:44,The pressure to make my parents proud is immense sometimes.,joy,0.4247
2025-10-11 09:38:44,Just booked my tickets to go home for the holidays.,neutral,0.7664
2025-10-11 09:38:45,My mom sent me a care package. It's the little things.,neutral,0.6351
2025-10-11 09:38:45,Realizing how much my parents have sacrificed for me to be here.,sadness,0.8115
2025-10-11 22:33:25,"I am feeling alright , like a bit bored as today i did not have college.

",sadness,0.977
